,location,total_sqft,bath,bhk,price
432,Yelenahalli,1240.0,2,2,47.12
433,Raja Rajeshwari Nagar,1419.0,2,2,48.1
436,other,1450.0,3,3,55.0
437,other,1630.0,3,3,68.29
438,Dasanapura,708.0,1,2,40.0
441,Bellandur,1250.0,2,2,76.0
442,7th Phase JP Nagar,1400.0,2,3,95.0
443,Sarjapur  Road,1670.0,2,3,57.0
444,Ardendale,1750.0,3,3,100.0
445,Vittasandra,1404.0,2,2,71.0
446,Hoodi,1715.0,2,3,95.0
447,Electronic City,630.0,1,1,34.65
448,Harlur,1752.12,3,3,135.0
449,Hulimavu,1650.0,3,3,78.0
450,Raja Rajeshwari Nagar,1295.0,2,2,55.47
452,Sarjapur  Road,1346.0,2,2,74.03
454,Hormavu,1150.0,2,2,55.0
456,Chandapura,1190.0,2,3,30.35
457,AECS Layout,1620.0,3,3,98.0
458,Marathahalli,950.0,2,2,46.96
461,Electronic City Phase II,1220.0,2,3,35.23
462,other,850.0,2,2,30.0
463,Padmanabhanagar,1020.0,2,2,63.0
464,Chikkalasandra,1100.0,2,2,50.0
466,Hebbal,1760.0,2,3,130.0
467,Ambalipura,1800.0,3,3,110.0
468,Akshaya Nagar,1070.0,2,2,54.0
470,Vidyaranyapura,1440.0,2,2,95.0
471,Amruthahalli,900.0,2,2,40.0
473,Whitefield,1130.0,2,2,42.16
475,Kodigehalli,1270.0,2,2,98.0
476,other,1200.0,2,2,62.0
478,other,1200.0,2,2,74.0
479,Subramanyapura,929.0,2,2,50.17
484,other,1464.0,3,3,56.0
486,other,2000.0,4,4,99.0
487,Chikkalasandra,1208.0,2,2,49.0
488,Hebbal Kempapura,1130.0,2,2,60.0
489,other,1753.0,3,3,120.0
491,Banjara Layout,600.0,3,3,58.0
492,Hoodi,1196.0,2,2,94.42
493,5th Phase JP Nagar,1150.0,3,2,52.5
494,Electronic City,1128.0,2,2,63.0
495,other,1000.0,2,2,53.0
496,Yelahanka,1035.0,2,2,45.0
497,Kereguddadahalli,950.0,2,2,32.0
498,Bisuvanahalli,1075.0,2,3,36.0
499,Whitefield,1040.0,2,2,48.5
500,other,720.0,2,2,45.0
501,Lingadheeranahalli,1511.0,3,3,95.0
502,other,1300.0,3,3,58.0
503,Hoodi,1545.0,3,3,68.75
504,Shampura,375.0,2,1,26.0
505,Vidyaranyapura,1062.0,2,2,38.0
506,other,1115.0,2,2,40.0
507,JP Nagar,1000.0,2,2,35.0
508,Kambipura,883.0,2,2,45.0
509,Sarjapur  Road,1195.0,2,2,70.0
511,other,700.0,1,1,41.0
512,Vittasandra,1246.0,2,2,67.0
515,other,1600.0,4,4,80.0
517,Begur Road,1584.0,3,3,65.0
519,Hosur Road,1175.0,2,3,48.0
520,other,1595.0,3,3,115.0
521,other,1353.0,2,2,110.0
522,Electronic City,1599.0,3,3,125.0
523,Whitefield,1150.0,2,2,70.0
525,KR Puram,1155.0,2,2,42.74
526,other,1200.0,2,1,85.0
527,Electronic City Phase II,1000.0,2,2,25.0
529,Rajiv Nagar,1867.0,3,3,160.0
530,Ramagondanahalli,1251.0,2,2,47.0
531,other,1028.0,2,2,45.5
532,Arekere,1222.0,2,2,45.0
533,Bannerghatta Road,1170.0,2,3,66.0
535,other,1385.0,2,3,48.48
536,HSR Layout,1372.0,2,2,68.0
537,Magadi Road,1282.0,2,3,49.0
540,Kanakpura Road,1135.0,2,2,39.73
541,Whitefield,1768.0,3,3,101.0
542,other,1325.0,2,3,90.0
543,Electronic City,1599.0,3,3,99.0
544,Whitefield,1500.0,3,3,61.95
546,Uttarahalli,1286.0,2,2,63.0
548,other,1600.0,2,3,50.0
549,Hennur Road,1317.5,2,2,63.77
551,Munnekollal,1102.0,2,2,53.67
552,Yelahanka,1350.0,2,2,54.0
553,Banashankari,1200.0,2,3,42.0
555,other,1800.0,1,2,80.0
556,Chikkabanavar,950.0,2,2,40.0
557,Kanakpura Road,525.0,1,1,27.25
558,Attibele,656.0,2,2,25.0
559,Marathahalli,1780.0,4,4,175.0
560,other,1056.0,2,2,80.0
561,Bannerghatta Road,595.0,1,1,33.32
562,other,1080.0,2,2,50.0
563,7th Phase JP Nagar,2225.0,3,3,160.0
564,Bommasandra,1126.0,2,2,28.15
565,Electronics City Phase 1,1490.0,3,3,84.0
567,Sarjapur  Road,1550.0,3,3,100.0
568,Whitefield,1600.0,3,3,86.0
569,other,1160.0,2,2,55.0
571,Sarjapur  Road,2100.0,3,3,125.0
572,Vittasandra,1404.0,2,2,69.3
573,Sarjapur  Road,2230.0,4,4,225.0
574,other,1544.0,3,3,120.0
575,Banashankari Stage III,1305.0,2,3,58.7
576,Marathahalli,1230.0,2,2,80.0
577,other,1200.0,2,2,65.0
578,Harlur,1460.0,3,3,73.0
579,Sarjapur  Road,1800.0,2,2,34.185
580,Gottigere,967.0,2,2,45.0
581,other,540.0,1,1,36.0
582,Hormavu,715.0,1,1,46.0
585,Mysore Road,1020.0,2,2,48.95
586,Jigani,1020.0,2,2,40.0
587,Koramangala,1253.0,2,2,102.0
588,other,1180.0,2,2,42.0
589,Nehru Nagar,961.0,2,2,38.0
590,Kanakapura,1419.0,3,3,75.0
591,Harlur,1709.0,3,3,150.0
592,other,1600.0,2,2,115.0
593,other,416.0,1,1,18.5
594,Sanjay nagar,1100.0,2,2,98.0
595,HSR Layout,1430.0,2,3,65.0
596,other,1260.0,2,2,45.0
597,other,1630.0,3,3,85.0
598,Sarjapur  Road,1249.0,3,3,44.71
599,Kalena Agrahara,1450.0,2,3,85.0
602,other,834.0,1,1,60.0
603,other,1125.0,4,3,70.0
604,Arekere,2060.0,3,3,140.0
606,Gottigere,891.0,2,2,25.0
607,Raja Rajeshwari Nagar,1133.0,2,2,49.07
608,Bisuvanahalli,1075.0,2,3,37.0
611,Vidyaranyapura,1200.0,2,2,55.0
612,Thanisandra,1075.0,2,2,45.8
613,Kaggadasapura,1140.0,2,2,40.0
616,Raja Rajeshwari Nagar,1090.0,2,2,42.0
617,R.T. Nagar,1500.0,4,4,70.0
619,Whitefield,1790.0,3,3,100.0
620,Hebbal,1920.0,3,3,134.0
621,HRBR Layout,1374.0,2,2,95.0
622,Bannerghatta Road,1445.0,3,3,95.0
623,Kanakapura,711.0,1,1,36.0
624,Tumkur Road,1500.0,3,3,95.0
625,Whitefield,1720.0,3,3,100.0
626,Vasanthapura,1400.0,3,3,60.0
627,Kundalahalli,1030.0,2,2,49.0
628,Mysore Road,1200.0,2,2,85.0
629,other,1375.0,3,3,70.0
630,Hegde Nagar,1050.0,1,2,56.0
631,Jalahalli,2250.0,3,3,160.0
632,Bellandur,1000.0,2,2,50.0
633,other,469.0,1,1,25.0
635,Kambipura,883.0,2,2,29.0
636,GM Palaya,1820.0,2,3,86.0
637,Singasandra,1440.0,2,3,65.0
640,Mahadevpura,1225.0,2,2,48.0
642,Chikkalasandra,875.0,2,2,52.8
643,Jalahalli East,750.0,1,1,40.0
644,6th Phase JP Nagar,1180.0,2,2,80.0
645,Haralur Road,1194.0,2,2,47.0
646,Hennur Road,1500.0,2,3,62.0
647,other,1160.0,2,2,52.2
650,Sarjapur,1128.0,2,2,60.0
651,Hebbal,1500.0,3,3,150.0
652,other,1220.0,2,3,35.23
653,Sarjapur  Road,1210.0,2,2,58.0
654,Kanakpura Road,1100.0,2,3,58.0
655,Bommasandra,1200.0,3,3,46.0
657,other,1641.0,3,3,66.0
658,Horamavu Agara,1200.0,2,2,45.0
659,Raja Rajeshwari Nagar,1260.0,2,2,67.39
660,Mahadevpura,1720.0,3,3,78.0
661,Yelahanka,1132.5,2,2,48.13
662,Yelahanka,1210.0,2,2,45.98
663,Indira Nagar,2200.0,4,4,200.0
664,Bisuvanahalli,1075.0,2,3,45.0
665,Thanisandra,1702.0,3,3,130.0
667,Raja Rajeshwari Nagar,1141.0,2,2,38.55
668,other,2072.0,3,3,108.0
670,other,1200.0,2,3,70.0
671,other,1350.0,3,3,77.0
673,other,1180.0,2,3,78.34
675,other,1355.0,2,2,115.0
676,other,600.0,1,1,50.0
678,Bannerghatta Road,1640.0,2,3,120.0
680,Kodichikkanahalli,1190.0,2,3,57.0
682,Marathahalli,1019.0,2,2,49.85
683,other,1875.0,3,3,165.0
684,Akshaya Nagar,1250.0,3,3,40.0
686,Whitefield,1140.0,2,2,56.0
687,Lingadheeranahalli,1683.0,3,3,109.0
688,Kaggadasapura,1515.0,3,3,83.3
689,Hoodi,2118.0,4,4,111.0
690,Bannerghatta Road,1380.0,3,4,58.0
691,Varthur Road,1083.0,2,2,61.75
692,other,600.0,2,2,55.0
693,other,2300.0,3,3,120.0
694,other,1240.0,2,2,60.0
695,other,1750.0,3,3,120.0
696,other,1230.0,2,2,43.48
697,Anjanapura,1500.0,3,3,139.0
698,Abbigere,985.0,2,2,40.39
699,Tindlu,1500.0,2,3,87.0
700,Electronic City,1125.0,2,2,32.49
701,other,950.0,2,2,44.0
703,Kothanur,1580.0,3,3,76.0
704,other,1092.0,2,3,98.5
705,Electronic City Phase II,1090.0,2,2,28.34
706,Hennur Road,2264.0,3,3,159.0
707,Dommasandra,1033.0,2,3,25.53
708,Kammasandra,810.0,2,2,24.5
709,other,1045.0,2,2,45.0
710,Hebbal,1337.0,2,2,82.0
711,Chandapura,1200.0,2,2,32.0
713,Begur Road,1500.0,2,3,54.0
714,Whitefield,1640.0,4,3,91.0
715,other,1570.0,3,3,62.0
716,Gubbalala,1470.0,2,3,82.0
717,Kengeri,1160.0,2,2,40.61
718,7th Phase JP Nagar,1050.0,2,2,71.0
720,Bannerghatta Road,1460.0,2,3,90.0
721,Hulimavu,1823.0,3,3,100.0
722,Electronic City,1094.0,2,2,42.0
723,Budigere,1153.0,2,2,57.0
724,other,1325.0,3,3,57.0
725,Parappana Agrahara,1200.0,3,4,85.0
726,Jakkur,1590.0,2,3,125.0
729,other,1202.0,2,2,48.0
730,Haralur Road,1202.0,2,2,53.0
731,other,1200.0,2,2,62.5
732,Panathur,1688.0,3,3,118.0
733,Kaval Byrasandra,1020.0,2,2,52.0
734,Sarjapur,1185.0,2,2,47.0
735,Ramagondanahalli,1235.0,2,2,52.04
737,Banashankari,1077.0,2,2,37.64
738,Kengeri Satellite Town,1415.0,2,3,66.0
739,EPIP Zone,2330.0,3,3,162.0
740,Whitefield,805.0,2,2,35.0
741,other,425.0,1,1,20.03
742,Whitefield,1155.0,2,2,59.95
744,Anekal,656.0,2,2,22.0
745,other,1100.0,2,2,48.0
746,Mahadevpura,1150.0,2,2,52.0
747,other,600.0,1,1,60.0
748,other,1468.0,2,2,140.0
750,Whitefield,2280.0,4,3,126.0
751,Hegde Nagar,1341.0,2,2,97.0
752,Jakkur,1279.0,2,2,77.0
753,Electronic City Phase II,2225.0,4,4,98.88
754,Thanisandra,1185.0,2,2,43.51
755,other,1750.0,3,3,85.0
756,Kudlu,1152.0,2,2,53.5
758,Hulimavu,1300.0,2,2,36.0
760,5th Phase JP Nagar,1070.0,2,2,39.0
761,Uttarahalli,1101.0,2,2,45.0
762,other,775.0,2,2,55.0
763,Yeshwanthpur,667.0,1,1,36.85
764,Electronic City,1070.0,2,2,55.0
765,Old Airport Road,1875.0,2,3,110.0
766,Kundalahalli,735.0,2,2,57.99
768,Koramangala,1750.0,3,3,130.0
769,Marathahalli,1215.0,2,2,67.0
771,Vishwapriya Layout,820.0,2,2,30.0
772,Banashankari Stage VI,1177.5,2,2,59.935
773,Battarahalli,1779.0,3,3,89.61
774,other,1105.0,2,2,58.0
776,Whitefield,1650.0,3,3,60.0
777,Jalahalli,1694.0,2,2,150.0
779,Cox Town,1975.0,3,3,150.0
780,Kammasandra,674.0,2,2,33.0
781,Kaggadasapura,1185.0,2,2,41.0
782,Thanisandra,445.0,1,1,28.0
784,HSR Layout,1475.0,3,3,75.0
785,Gottigere,1618.0,3,3,82.5
786,Koramangala,1120.0,2,2,65.0
787,Marathahalli,2181.0,3,4,152.0
788,Vidyaranyapura,1200.0,4,4,90.0
790,Bannerghatta Road,1556.0,2,3,59.13
791,Bannerghatta Road,1179.0,2,2,66.02
792,Thanisandra,1296.0,2,2,83.0
793,Kaggadasapura,1275.0,2,2,52.0
795,Kathriguppe,1400.0,2,3,77.0
796,Gottigere,1222.0,2,2,63.0
797,Electronic City,940.0,2,2,41.0
798,Thanisandra,1185.0,2,2,42.6
799,Tumkur Road,1779.0,3,3,112.0
800,Begur Road,1615.0,3,3,59.76
802,Haralur Road,1056.0,2,2,61.0
803,7th Phase JP Nagar,1100.0,2,2,46.0
804,Arekere,920.0,2,2,40.0
805,other,1602.0,2,3,75.0
806,Padmanabhanagar,1176.0,2,2,62.0
807,HBR Layout,675.0,3,4,59.0
808,other,1352.0,3,3,135.0
809,Kasavanhalli,1717.0,3,3,99.0
811,Bhoganhalli,2119.0,4,4,111.0
812,Vittasandra,1246.0,2,2,67.3
813,Anandapura,1141.0,2,2,42.79
814,Hennur Road,1157.0,2,2,84.0
815,Chandapura,1025.0,2,2,27.68
816,Yelahanka New Town,650.0,1,1,33.0
